Name,City,State,Rank,Category
Indian Agricultural Research Institute,New Delhi,Delhi,1,Agriculture
ICAR - National Dairy Research Institute,Karnal,Haryana,2,Agriculture
"Punjab Agricultural University, Ludhiana",Ludhiana,Punjab,3,Agriculture
Banaras Hindu University,Varanasi,Uttar Pradesh,4,Agriculture
Tamil Nadu Agricultural University,Coimbatore,Tamil Nadu,5,Agriculture
"Indian Veterinary Research Institute, Izatnagar",Bareilly,Uttar Pradesh,6,Agriculture
"Central Institute of Fisheries Education, Fishries University",Mumbai,Maharashtra,7,Agriculture
"G.B. Pant Universtiy of Agriculture and Technology, Pantnagar",Pantnagar,Uttarakhand,8,Agriculture
"Sher-e-Kashmir University of Agricultural Science & Technology of Kashmir, Srinagar",Srinagar,Jammu and Kashmir,9,Agriculture
Chaudhary Charan Singh Haryana Agricultural University,Hisar,Haryana,10,Agriculture
"University of Agricultural Sciences, Bangalore",Bangalore,Karnataka,11,Agriculture
Tamil Nadu Veterinary & Animal Sciences University,Chennai,Tamil Nadu,12,Agriculture
"National Institute of Food Technology, Entrepreneurship and Management",Thanjavur,Tamil Nadu,13,Agriculture
Chaudhary Sarwan Kumar Himachal Pardesh Krishi Vishvavidyalaya,Kangra,Himachal Pradesh,14,Agriculture
"Kerala Agricultural University, Thrissur",Thrissur,Kerala,15,Agriculture
Bidhan Chandra Krishi Vishwavidyalaya,Nadia,West Bengal,16,Agriculture
"Dr. Y.S. Parmar University of Horticulture and Forestry, Solan",Solan,Himachal Pradesh,17,Agriculture
Anand Agricultural University,Anand,Gujarat,18,Agriculture
"Assam Agricultural University, Jorhat",Jorhat,Assam,19,Agriculture
"Acharya NG Ranga Agricultural University, Guntur",Guntur,Andhra Pradesh,20,Agriculture
Guru Angad Dev Veterinary & Animal Sciences University,Ludhiana,Punjab,21,Agriculture
"Orissa University of Agriculture & Technology, Bhubaneswar",Khordha,Odisha,22,Agriculture
Annamalai University,Annamalainagar,Tamil Nadu,23,Agriculture
"National Institute of Food Technology, Enterprenurship & Management",Sonipat,Haryana,24,Agriculture
Kerala University of Fisheries & Ocean Studies,Kochi,Kerala,25,Agriculture
"West Bengal University of Animal and Fishery Sciences, Kolkata",Kolkata,West Bengal,26,Agriculture
Lovely Professional University,Phagwara,Punjab,27,Agriculture
University of Agricultural Sciences,Dharwad,Karnataka,28,Agriculture
Central Agricultural University,Imphal West,Manipur,29,Agriculture
"Chandra Shekhar Azad University of Agriculture & Technology, Kanpur",Kanpur,Uttar Pradesh,30,Agriculture
Sri Venkateswara Veterinary University,Tirupati,Andhra Pradesh,31,Agriculture
National Institute of Agricultural Extension Management,Hyderabad,Telangana,32,Agriculture
"Dr Rajendra Prasad Central Agricultural University, Samastipur",Samastipur,Bihar,33,Agriculture
Lala lajpat Rai University of Veterinary and Animal Sciences,Hisar,Haryana,34,Agriculture
"Acharya Narendra Deva University of Agriculture & Technology, Kumarganj, Ayodhya",Faizabad,Uttar Pradesh,35,Agriculture
"Mahatma Phule Krishi Vidyapeeth, Rahuri",Rahuri,Maharashtra,36,Agriculture
"Karnataka Vetrinary, Animal & Fisheries Science University, Nandinagar",Bidar,Karnataka,37,Agriculture
Junagadh Agricultural University,Junagadh,Gujarat,38,Agriculture
"University of Agricultural Sciences, Raichur",Raichur,Karnataka,39,Agriculture
Tamil Nadu Dr.J.Jayalalithaa Fisheries University,Nagapattinam,Tamil Nadu,40,Agriculture
