Name,City,State,Rank,Category
Hindu College,Delhi,Delhi,1,College
Miranda House,Delhi,Delhi,2,College
St. Stephens's College,Delhi,Delhi,3,College
Rama Krishna Mission Vivekananda Centenary College,Kolkata,West Bengal,3,College
Atma Ram Sanatan Dharm College,New Delhi,Delhi,5,College
St. Xavier`s College,Kolkata,West Bengal,6,College
PSGR Krishnammal College for Women,Coimbatore,Tamil Nadu,7,College
Loyola College,Chennai,Tamil Nadu,8,College
Kirori Mal College,Delhi,Delhi,9,College
Lady Shri Ram College for Women,New Delhi,Delhi,10,College
PSG College of Arts and Science,Coimbatore,Tamil Nadu,11,College
Hans Raj College,Delhi,Delhi,12,College
Presidency College,Chennai,Tamil Nadu,13,College
Madras Christian College,Chennai,Tamil Nadu,14,College
Thiagarajar College,Madurai,Tamil Nadu,15,College
Deshbandhu College,New Delhi,Delhi,16,College
Ramakrishna Mission Vidyamandira,Howrah,West Bengal,17,College
Acharya Narendra Dev College,New Delhi,Delhi,18,College
Shri Ram College of Commerce,Delhi,Delhi,19,College
Rajagiri College of Social Sciences,Ernakulam,Kerala,20,College
Sri Venkateswara College,Delhi,Delhi,21,College
"University College, Thiruvananthapuram",Thiruvananthapuram,Kerala,22,College
Lady Irwin College,Delhi,Delhi,23,College
Ramakrishna Mission Residential College,Kolkata,West Bengal,24,College
"St. Joseph's College, Tiruchirappalli",Tiruchirappalli,Tamil Nadu,25,College
Deen Dayal Upadhyaya College,New Delhi,Delhi,26,College
Bhaskaracharya College of Applied Sciences,New Delhi,Delhi,27,College
V.O. Chidambaram College,Thoothukudi,Tamil Nadu,28,College
Maitreyi College,New Delhi,Delhi,29,College
Stella Maris College for Women,Chennai,Tamil Nadu,30,College
Gargi College,Delhi,Delhi,31,College
Midnapore College,Midnapore,West Bengal,32,College
Bishop Heber College,Tiruchirappalli,Tamil Nadu,33,College
Dyal Singh College,New Delhi,Delhi,34,College
Pachhunga University College,Aizawl,Mizoram,35,College
"St. Xavier's College, Palayamkottai",Palayamkottai,Tamil Nadu,36,College
