Name,City,State,Rank,Category
Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,1,Dental
"Manipal College of Dental Sciences, Manipal",Manipal,Karnataka,2,Dental
Maulana Azad Institute of Dental Sciences,Delhi,Delhi,3,Dental
King George`s Medical University,Lucknow,Uttar Pradesh,4,Dental
Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,5,Dental
A.B.Shetty Memorial Institute of Dental Sciences,Mangaluru,Karnataka,6,Dental
SRM Dental College,Chennai,Tamil Nadu,7,Dental
Jamia Millia Islamia,New Delhi,Delhi,8,Dental
Siksha `O` Anusandhan,Bhubaneswar,Odisha,9,Dental
Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,10,Dental
"Manipal College of Dental Sciences, Mangalore",Mangaluru,Karnataka,11,Dental
JSS Dental College and Hospital,Mysuru,Karnataka,12,Dental
Meenakshi Academy of Higher Education and Research,Chennai,Tamil Nadu,13,Dental
Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,14,Dental
"Govt. Dental College, Nagpur",Nagpur,Maharashtra,15,Dental
M.S. Ramaiah University of Applied Sciences,Bengaluru,Karnataka,16,Dental
Banaras Hindu University,Varanasi,Uttar Pradesh,17,Dental
Aligarh Muslim University,Aligarh,Uttar Pradesh,18,Dental
"Government Dental College, Bangalore",Bengaluru,Karnataka,19,Dental
Dr. M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,20,Dental
Government Dental College,Thiruvananthapuram,Kerala,21,Dental
Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,22,Dental
Postgraduate Institute of Dental Sciences,Rohtak,Haryana,23,Dental
Datta Meghe Institute of Higher Education and Research,Wardha,Maharashtra,24,Dental
"Govt. Dental College, Mumbai",Mumbai,Maharashtra,25,Dental
Yenepoya Dental College,Mangaluru,Karnataka,26,Dental
Panjab University,Chandigarh,Chandigarh,27,Dental
Nair Hospital Dental College,Mumbai,Maharashtra,28,Dental
KLE Vishwanath Katti Institute of Dental Sciences,Belgaum,Karnataka,29,Dental
Christian Dental College,Ludhiana,Punjab,30,Dental
SDM College of Dental Sciences & Hospital,Dharwad,Karnataka,31,Dental
SRM Kattankulathur Dental College,Chennai,Tamil Nadu,32,Dental
Chettinad Dental College and Research Institute,Kelambakkam,Tamil Nadu,33,Dental
Government Dental College,Ahmedabad,Gujarat,34,Dental
Mahatma Gandhi P.G. Institute of Dental Sciences,Pondicherry,Pondicherry,35,Dental
"Bharati Vidyapeeth (Deemed to be University) Dental College and Hospital, Pune",Pune,Maharashtra,36,Dental
Bapuji Dental College & Hospital,Davangere,Karnataka,37,Dental
Manav Rachna International Institute of Research and Studies,Faridabad,Haryana,38,Dental
"Adhiparasakthi Dental College and Hospital, Kancheepuram",Melmaruvathur,Tamil Nadu,39,Dental
Army College of Dental Sciences,Secunderabad,Telangana,40,Dental
