Name,City,State,Rank,Category
Indian Institute of Technology Madras,Chennai,Tamil Nadu,1,Engineering
Indian Institute of Technology Delhi,New Delhi,Delhi,2,Engineering
Indian Institute of Technology Bombay,Mumbai,Maharashtra,3,Engineering
Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,4,Engineering
Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,5,Engineering
Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,6,Engineering
Indian Institute of Technology Guwahati,Guwahati,Assam,7,Engineering
Indian Institute of Technology Hyderabad,Hyderabad,Telangana,8,Engineering
National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,9,Engineering
Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,Uttar Pradesh,10,Engineering
Vellore Institute of Technology,Vellore,Tamil Nadu,11,Engineering
Jadavpur University,Kolkata,West Bengal,12,Engineering
S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,13,Engineering
Anna University,Chennai,Tamil Nadu,14,Engineering
Indian Institute of Technology (Indian School of Mines) Dhanbad,Dhanbad,Jharkhand,15,Engineering
Indian Institute of Technology Indore,Indore,Madhya Pradesh,16,Engineering
"National Institute of Technology Karnataka, Surathkal",Surathkal,Karnataka,17,Engineering
Indian Institute of Technology Gandhinagar,Gandhinagar,Gujarat,18,Engineering
National Institute of Technology Rourkela,Rourkela,Odisha,19,Engineering
"Birla Institute of Technology and Science, Pilani",Pilani,Rajasthan,20,Engineering
National Institute of Technology Warangal,Warangal,Telangana,21,Engineering
Indian Institute of Technology Ropar,Rupnagar,Punjab,22,Engineering
Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,23,Engineering
Jamia Millia Islamia,New Delhi,Delhi,24,Engineering
National Institute of Technology Calicut,Kozhikode,Kerala,25,Engineering
Siksha `O` Anusandhan,Bhubaneswar,Odisha,26,Engineering
Delhi Technological University,New Delhi,Delhi,27,Engineering
Indian Institute of Technology Jodhpur,Jodhpur,Rajasthan,28,Engineering
Thapar Institute of Engineering and Technology (Deemed-to-be-university),Patiala,Punjab,29,Engineering
Amity University,Gautam Budh Nagar,Uttar Pradesh,30,Engineering
Indian Institute of Technology Mandi,Mandi,Himachal Pradesh,31,Engineering
Chandigarh University,Mohali,Punjab,32,Engineering
Aligarh Muslim University,Aligarh,Uttar Pradesh,33,Engineering
Indian Institute of Technology Patna,Patna,Bihar,34,Engineering
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,35,Engineering
Kalasalingam Academy of Research and Education,Srivilliputhur,Tamil Nadu,36,Engineering
Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,37,Engineering
Shanmugha Arts Science Technology and Research Academy,Thanjavur,Tamil Nadu,38,Engineering
Visvesvaraya National Institute of Technology Nagpur,Nagpur,Maharashtra,39,Engineering
National Institute of Technology Silchar,Silchar,Assam,40,Engineering
Institute of Chemical Technology,Mumbai,Maharashtra,41,Engineering
UPES,Dehradun,Uttarakhand,42,Engineering
Malaviya National Institute of Technology,Jaipur,Rajasthan,43,Engineering
National Institute of Technology Durgapur,Durgapur,West Bengal,44,Engineering
National Institute of Technology Delhi,Delhi,Delhi,45,Engineering
Sri Sivasubramaniya Nadar College of Engineering,Kalavakkam,Tamil Nadu,46,Engineering
International Institute of Information Technology Hyderabad,Hyderabad,Telangana,47,Engineering
Birla Institute of Technology,Ranchi,Jharkhand,48,Engineering
"Indian Institute of Engineering Science and Technology, Shibpur",Howrah,West Bengal,49,Engineering
Lovely Professional University,Phagwara,Punjab,50,Engineering
Indian Institute of Space Science and Technology,Thiruvananthapuram,Kerala,51,Engineering
Graphic Era University,Dehradun,Uttarakhand,52,Engineering
Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,53,Engineering
Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,54,Engineering
National Institute of Technology Patna,Patna,Bihar,55,Engineering
Manipal Institute of Technology,Manipal,Karnataka,56,Engineering
Netaji Subhas University of Technology (NSUT),Delhi,Delhi,57,Engineering
Dr. B R Ambedkar National Institute of Technology Jalandhar,Jalandhar,Punjab,58,Engineering
Sardar Vallabhbhai National Institute of Technology,SURAT,Gujarat,59,Engineering
Motilal Nehru National Institute of Technology,Prayagraj,Uttar Pradesh,60,Engineering
Indian Institute of Technology Tirupati,YERPEDU,Andhra Pradesh,61,Engineering
Indian Institute of Technology Jammu,Jammu,Jammu and Kashmir,62,Engineering
Defence Institute of Advanced Technology,Pune,Maharashtra,63,Engineering
Indian Institute of Technology Palakkad,Palakkad,Kerala,64,Engineering
"Manipal University, Jaipur",Jaipur,Rajasthan,64,Engineering
Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,66,Engineering
PSG College of Technology,Coimbatore,Tamil Nadu,67,Engineering
National Institute of Technology Meghalaya,Shillong,Meghalaya,68,Engineering
Visvesvaraya Technological University,Belgaum,Karnataka,69,Engineering
University of Hyderabad,Hyderabad,Telangana,70,Engineering
National Institute of Technology Raipur,Raipur,Chhattisgarh,71,Engineering
Maulana Azad National Institute of Technology,Bhopal,Madhya Pradesh,72,Engineering
Indian Institute of Technology Bhilai,Raipur,Chhattisgarh,73,Engineering
International Institute of Information Technology Bangalore,Bengaluru,Karnataka,74,Engineering
M. S. Ramaiah Institute of Technology,Bengaluru,Karnataka,75,Engineering
Sant Longowal Institute of Engineering and Technology,Longowal,Punjab,76,Engineering
COEP Technological University,Pune,Maharashtra,77,Engineering
Banasthali Vidyapith,Banasthali,Rajasthan,78,Engineering
National Institute of Technology Srinagar,Srinagar,Jammu and Kashmir,79,Engineering
Rajiv Gandhi Institute of Petroleum Technology,Amethi,Uttar Pradesh,80,Engineering
National Institute of Technology Kurukshetra,Kurukshetra,Haryana,81,Engineering
National Institute of Technology Agartala,Agratala,Tripura,82,Engineering
Sri Krishna College of Engineering and Technology,Coimbatore,Tamil Nadu,83,Engineering
Madan Mohan Malaviya University of Technology,Gorakhpur,Uttar Pradesh,84,Engineering
Indraprastha Institute of Information Technology,New Delhi,Delhi,85,Engineering
Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,Chennai,Tamil Nadu,86,Engineering
Indian Institute of Information Technology Allahabad,Prayagraj,Uttar Pradesh,87,Engineering
Jawaharlal Nehru Technological University,Hyderabad,Telangana,88,Engineering
Guru Gobind Singh Indraprastha University,New Delhi,Delhi,89,Engineering
AU College of Engineering (A),Visakhapatnam,Andhra Pradesh,90,Engineering
"Vignan's Foundation for Science, Technology and Research",Guntur,Andhra Pradesh,91,Engineering
Shoolini University of Biotechnology and Management Sciences,Solan,Himachal Pradesh,92,Engineering
Christ University,Bengaluru,Karnataka,93,Engineering
Chitkara University,Rajpura,Punjab,94,Engineering
"Jain University, Bangalore",Bengaluru,Karnataka,95,Engineering
"C.V. Raman Global University, Odisha",Bhubaneswar,Odisha,96,Engineering
National Institute of Technology Puducherry,Karaikal,Pondicherry,97,Engineering
SR University,Warangal,Telangana,98,Engineering
R.V. College of Engineering,Bengaluru,Karnataka,99,Engineering
Siddaganga Institute of Technology,Tumkur,Karnataka,100,Engineering
Amity University,North Twenty Four Parganas,West Bengal,101-150,Engineering
"Amity University Haryana, Gurgaon","Gurugram, Haryana",Haryana,101-150,Engineering
"Amity University Rajasthan,Jaipur",Jaipur,Rajasthan,101-150,Engineering
Atal Bihari Vajpayee Indian Institute of Information Technology and Management,Gwalior,Madhya Pradesh,101-150,Engineering
"Chandigarh Engineering College-CGC, Landran, Mohali",Mohali,Punjab,101-150,Engineering
Chennai Institute of Technology,Chennai,Tamil Nadu,101-150,Engineering
Coimbatore Institute of Technology,Coimbatore,Tamil Nadu,101-150,Engineering
"College of Engineering, Trivandrum",Thiruvananthapuram,Kerala,101-150,Engineering
Dr. Vishwanath Karad MIT World Peace University,Pune,Maharashtra,101-150,Engineering
Galgotias University,Gautam Budh Nagar,Uttar Pradesh,101-150,Engineering
Gandhi Institute of Technology and Management,Visakhapatnam,Andhra Pradesh,101-150,Engineering
Goka Raju Ranga Raju Institute of Engineering & Technology,Hyderabad,Telangana,101-150,Engineering
Hindustan Institute of Technology and Science (HITS),Chennai,Tamil Nadu,101-150,Engineering
"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",Chennai,Tamil Nadu,101-150,Engineering
Indian Institute of Technology Dharwad,Dharwad,Karnataka,101-150,Engineering
Jawaharlal Nehru Technological University,Kakinada,Andhra Pradesh,101-150,Engineering
Jaypee Institute of Information Technology,Noida,Uttar Pradesh,101-150,Engineering
Karunya Institute of Technology and Sciences,Coimbatore,Tamil Nadu,101-150,Engineering
Kongu Engineering College,Perundurai,Tamil Nadu,101-150,Engineering
KPR Institute of Engineering and Technology,Coimbatore,Tamil Nadu,101-150,Engineering
Mahindra University,Hyderabad,Telangana,101-150,Engineering
Manav Rachna International Institute of Research and Studies,Faridabad,Haryana,101-150,Engineering
Maulana Abul Kalam Azad University of Technology,Nadia,West Bengal,101-150,Engineering
Mepco Schlenk Engineering College,Sivakasi,Tamil Nadu,101-150,Engineering
"National Institute of Food Technology, Entrepreneurship and Management",Thanjavur,Tamil Nadu,101-150,Engineering
National Institute of Technology Arunachal Pradesh,Itanagar,Arunachal Pradesh,101-150,Engineering
National Institute of Technology Goa,Ponda,Goa,101-150,Engineering
National Institute of Technology Hamirpur,Hamirpur,Himachal Pradesh,101-150,Engineering
National Institute of Technology Manipur,Imphal,Manipur,101-150,Engineering
National Institute of Technology Mizoram,Aizawl,Mizoram,101-150,Engineering
National Institute of Technology Uttarakhand,Srinagar (Garhwal),Uttarakhand,101-150,Engineering
"National Institute of Technology, Jamshedpur",Jamshedpur,Jharkhand,101-150,Engineering
Nirma University,Ahmedabad,Gujarat,101-150,Engineering
Nitte Meenakshi Institute of Technology,Bengaluru,Karnataka,101-150,Engineering
Noida Institute of Engineering & Technology,Greater Noida,Uttar Pradesh,101-150,Engineering
Pandit Deendayal Energy University,Gandhinagar,Gujarat,101-150,Engineering
"Pandit Dwarka Prasad Mishra Indian Institute of Information Technology, Design and Manufacturing (IIITDM) Jabalpur",Jabalpur,Madhya Pradesh,101-150,Engineering
Panjab University,Chandigarh,Chandigarh,101-150,Engineering
PES University,Bengaluru,Karnataka,101-150,Engineering
PSG Institute of Technology and Applied Research,Coimbatore,Tamil Nadu,101-150,Engineering
"Punjab Engineering College (Deemed to be University), Chandigarh",Chandigarh,Chandigarh,101-150,Engineering
Rajalakshmi Engineering College,Chennai,Tamil Nadu,101-150,Engineering
Sharda University,Greater Noida,Uttar Pradesh,101-150,Engineering
Sri Sairam Engineering College,Kancheepuram,Tamil Nadu,101-150,Engineering
SVKM`s Narsee Monjee Institute of Management Studies,Mumbai,Maharashtra,101-150,Engineering
The Northcap University,Gurugram,Haryana,101-150,Engineering
Thiagarajar College of Engineering,Madurai,Tamil Nadu,101-150,Engineering
University College of Engineering,Hyderabad,Telangana,101-150,Engineering
"Veermata Jijabai Technological Institute,  (VJTI, Mumbai)",Mumbai,Maharashtra,101-150,Engineering
Vels Institute of Science Technology and Advanced Studies (VISTAS),Chennai,Tamil Nadu,101-150,Engineering
Annamalai University,Annamalainagar,Tamil Nadu,151-200,Engineering
Anurag University,Hyderabad,Telangana,151-200,Engineering
B. S. Abdur Rahman Crescent Institute of Science and Technology,Chennai,Tamil Nadu,151-200,Engineering
B.M.S. College of Engineering,Bengaluru,Karnataka,151-200,Engineering
Bansilal Ramnath Agarwal Charitable Trust`s Vishwakarama Institute of Technology,Pune,Maharashtra,151-200,Engineering
Bharati Vidyapeeth Deemed University College of Engineering,Pune,Maharashtra,151-200,Engineering
C M R Institute of Technology,Bengaluru,Karnataka,151-200,Engineering
Chaitanya Bharathi Institute of Technology,Hyderabad,Telangana,151-200,Engineering
CVR College of Engineering,Ibrahimpatan,Telangana,151-200,Engineering
Dayalbagh Educational Institute,Agra,Uttar Pradesh,151-200,Engineering
Dr. D. Y. Patil Institute of Technology,Pune,Maharashtra,151-200,Engineering
Easwari Engineering College,Chennai,Tamil Nadu,151-200,Engineering
"G. H. Raisoni College of Engineering, Nagpur",Nagpur,Maharashtra,151-200,Engineering
G. L. A. University,Mathura,Uttar Pradesh,151-200,Engineering
G.L.Bajaj Institute of Technology and Management,Greater Noida,Uttar Pradesh,151-200,Engineering
Indian Institute of Information Technology Guwahati,Guwahati,Assam,151-200,Engineering
Indira Gandhi Delhi Technical University for Women,Delhi,Delhi,151-200,Engineering
Institute of Aeronautical Engineering,Hyderabad,Telangana,151-200,Engineering
Institute of Engineering & Management,Kolkata,West Bengal,151-200,Engineering
"J. C. Bose University of Science and Technology, YMCA",Faridabad,Haryana,151-200,Engineering
Jawaharlal Nehru Technological University,Ananthapuramu,Andhra Pradesh,151-200,Engineering
JSPM's Rajarshi Shahu College of Engineering,Pune,Maharashtra,151-200,Engineering
KIET Group of Institutions: KIET Group of Pharmacy,Ghaziabad,Uttar Pradesh,151-200,Engineering
KLE Technological University,Dharwad,Karnataka,151-200,Engineering
Kumaraguru College of Technology,Coimbatore,Tamil Nadu,151-200,Engineering
Maharishi Markandeshwar (Deemed to be University),Ambala,Haryana,151-200,Engineering
Maulana Azad National Urdu University,Hyderabad,Telangana,151-200,Engineering
National Engineering College,Kovilpatti,Tamil Nadu,151-200,Engineering
"National Institute of Advanced Manufacturing Technology, Ranchi",Ranchi,Jharkhand,151-200,Engineering
"National Institute of Food Technology, Enterprenurship and Management",Sonipat,Haryana,151-200,Engineering
National Institute of Technology Nagaland,Dimapur,Nagaland,151-200,Engineering
National Institute of Technology Sikkim,South Sikkim,Sikkim,151-200,Engineering
New Horizon College of Engineering,Bengaluru,Karnataka,151-200,Engineering
NMAM Institute of Technology,"Nitte, Udupi",Karnataka,151-200,Engineering
