Name,City,State,Rank,Category
INDIAN INSTITUTE OF TECHNOLOGY KANPUR,,UTTAR PRADESH,1,Innovation
INDIAN INSTITUTE OF TECHNOLOGY MADRAS,,TAMIL NADU,2,Innovation
INDIAN INSTITUTE OF TECHNOLOGY HYDERABAD,,TELANGANA,3,Innovation
INDIAN INSTITUTE OF TECHNOLOGY DELHI,,DELHI,4,Innovation
INDIAN INSTITUTE OF TECHNOLOGY ROORKEE,,UTTARAKHAND,5,Innovation
"INDIAN INSTITUTE OF SCIENCE, BENGALURU",,KARNATAKA,6,Innovation
INDIAN INSTITUTE OF TECHNOLOGY BOMBAY,,MAHARASHTRA,7,Innovation
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, DESIGN & MANUFACTURING, KANCHEEPURAM",,TAMIL NADU,8,Innovation
NATIONAL INSTITUTE OF TECHNOLOGY CALICUT,,KERALA,8,Innovation
INDIAN INSTITUTE OF TECHNOLOGY (BANARAS HINDU UNIVERSITY) VARANASI,,UTTAR PRADESH,10,Innovation
