Name,City,State,Rank,Category
National Law School of India University,Bengaluru,Karnataka,1,Law
National Law University,New Delhi,Delhi,2,Law
Nalsar University of Law,Hyderabad,Telangana,3,Law
The West Bengal National University of Juridical Sciences,Kolkata,West Bengal,4,Law
Symbiosis Law School,Pune,Maharashtra,5,Law
Jamia Millia Islamia,New Delhi,Delhi,6,Law
Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,7,Law
Gujarat National Law University,Gandhinagar,Gujarat,8,Law
Siksha `O` Anusandhan,Bhubaneswar,Odisha,9,Law
Babasaheb Bhimrao Ambedkar University,Lucknow,Uttar Pradesh,10,Law
Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,11,Law
Aligarh Muslim University,Aligarh,Uttar Pradesh,12,Law
Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,13,Law
Shanmugha Arts Science Technology and Research Academy,Thanjavur,Tamil Nadu,14,Law
Christ University,Bengaluru,Karnataka,15,Law
Dr. B. R. Ambedkar College of Law,Visakhapatnam,Andhra Pradesh,16,Law
Guru Gobind Singh Indraprastha University,New Delhi,Delhi,17,Law
Alliance University,Bengaluru,Karnataka,18,Law
Lovely Professional University,Phagwara,Punjab,19,Law
Dr. Ram Manohar Lohiya National Law University,Lucknow,Uttar Pradesh,20,Law
"National Law Institute University, Bhopal",Bhopal,Madhya Pradesh,21,Law
National University of Study and Research in Law,Ranchi,Jharkhand,22,Law
University of Lucknow,Lucknow,Uttar Pradesh,23,Law
The Rajiv Gandhi National University of Law,Patiala,Punjab,24,Law
Banaras Hindu University,Varanasi,Uttar Pradesh,25,Law
"National Law University, Cuttack",Cuttack,Odisha,26,Law
National Law University and Judicial Academy,Kamrup,Assam,27,Law
UPES,Dehradun,Uttarakhand,28,Law
"Manipal University, Jaipur",Jaipur,Rajasthan,29,Law
Army Institute of Law,Mohali,Punjab,30,Law
Maharashtra National Law University Mumbai,Mumbai,Maharashtra,31,Law
Chanakya National Law University,Patna,Bihar,31,Law
"Amity University Haryana, Gurgaon","Gurugram, Haryana",Haryana,33,Law
"Maharashtra National Law University, Nagpur",Nagpur,Maharashtra,34,Law
Indian Law Institute,New Delhi,Delhi,35,Law
"ICFAI Foundation for Higher Education, Hyderabad",Hyderabad,Telangana,36,Law
Gandhi Institute of Technology and Management,Visakhapatnam,Andhra Pradesh,37,Law
National University of Advanced Legal Studies (NUALS),Kochi,Kerala,38,Law
Damodaram Sanjivayya National Law University,Visakhapatnam,Andhra Pradesh,39,Law
Amity University,North Twenty Four Parganas,West Bengal,39,Law
