Name,City,State,Rank,Category
Indian Institute of Management Ahmedabad,Ahmedabad,Gujarat,1,Management
Indian Institute of Management Bangalore,Bengaluru,Karnataka,2,Management
Indian Institute of Management Kozhikode,Kozhikode,Kerala,3,Management
Indian Institute of Technology Delhi,New Delhi,Delhi,4,Management
Indian Institute of Management Calcutta,Kolkata,West Bengal,5,Management
Indian Institute of Management Mumbai,Mumbai,Maharashtra,6,Management
Indian Institute of Management Lucknow,Lucknow,Uttar Pradesh,7,Management
Indian Institute of Management Indore,Indore,Madhya Pradesh,8,Management
XLRI - Xavier School of Management,Jamshedpur,Jharkhand,9,Management
Indian Institute of Technology Bombay,Mumbai,Maharashtra,10,Management
Management Development Institute,Gurugram,Haryana,11,Management
Indian Institute of Management Rohtak,Rohtak,Haryana,12,Management
Symbiosis Institute of Business Management,Pune,Maharashtra,13,Management
Indian Institute of Management Raipur,Raipur,Chhattisgarh,14,Management
Indian Institute of Foreign Trade,New Delhi,Delhi,15,Management
Indian Institute of Technology Madras,Chennai,Tamil Nadu,16,Management
Indian Institute of Management Ranchi,Ranchi,Jharkhand,17,Management
Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,18,Management
Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,19,Management
S. P. Jain Institute of Management and Research,Mumbai,Maharashtra,20,Management
SVKM`s Narsee Monjee Institute of Management Studies,Mumbai,Maharashtra,21,Management
Indian Institute of Management Udaipur,Udaipur,Rajasthan,22,Management
Indian Institute of Management Kashipur,Kashipur,Uttarakhand,23,Management
Indian Institute of Management Shillong,Shillong,Meghalaya,24,Management
Jamia Millia Islamia,New Delhi,Delhi,25,Management
Indian Institute of Management Visakhapatnam,Visakhapatnam,Andhra Pradesh,26,Management
Indian Institute of Management Tiruchirappalli,Tiruchirappalli,Tamil Nadu,27,Management
Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,28,Management
Amity University,Gautam Budh Nagar,Uttar Pradesh,29,Management
Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,29,Management
Indian Institute of Management Nagpur,Nagpur,Maharashtra,31,Management
MICA,Ahmedabad,Gujarat,32,Management
Indian Institute of Management Bodh Gaya,Gaya,Bihar,33,Management
Great Lakes Institute of Management,Chennai,Tamil Nadu,34,Management
Institute of Management Technology,Ghaziabad,Uttar Pradesh,35,Management
Chandigarh University,Mohali,Punjab,36,Management
Goa Institute of Management,Sanquelim,Goa,37,Management
Lovely Professional University,Phagwara,Punjab,38,Management
"ICFAI Foundation for Higher Education, Hyderabad",Hyderabad,Telangana,39,Management
International Management Institute,New Delhi,Delhi,40,Management
UPES,Dehradun,Uttarakhand,41,Management
Indian Institute of Management Jammu (IIMJ),Jammu,Jammu and Kashmir,42,Management
XIM University,Bhubaneswar,Odisha,43,Management
Thapar Institute of Engineering and Technology (Deemed-to-be-university),Patiala,Punjab,44,Management
Jaipuria Institute of Management,Noida,Uttar Pradesh,45,Management
Indian Institute of Technology (Indian School of Mines) Dhanbad,Dhanbad,Jharkhand,46,Management
Indian Institute of Management Amritsar,Amritsar,Punjab,47,Management
Banaras Hindu University,Varanasi,Uttar Pradesh,48,Management
Institute of Rural Management Anand (IRMA),Anand,Gujarat,49,Management
Indian Institute of Management Sambalpur,Sambalpur,Odisha,50,Management
National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,51,Management
Great Lakes Institute of Management,Gurgaon,Haryana,52,Management
Fore School of Management,New Delhi,Delhi,53,Management
Chitkara University,Rajpura,Punjab,54,Management
Nirma University,Ahmedabad,Gujarat,55,Management
"International Management Institute, Kolkata",Kolkata,West Bengal,56,Management
Indian Institute of Management Sirmaur,Sirmaur,Himachal Pradesh,57,Management
"T. A. Pai Management Institute, Manipal",Manipal,Karnataka,58,Management
Graphic Era University,Dehradun,Uttarakhand,59,Management
Christ University,Bengaluru,Karnataka,60,Management
"International Management Institute, Bhubaneswar",Bhubaneswar,Odisha,61,Management
Siksha `O` Anusandhan,Bhubaneswar,Odisha,62,Management
K J Somaiya Institute of Management Studies and Research,Mumbai,Maharashtra,63,Management
Birla Institute of Management Technology,Greater Noida,Uttar Pradesh,64,Management
Guru Gobind Singh Indraprastha University,New Delhi,Delhi,65,Management
Loyola Institute of Business Administration,Chennai,Tamil Nadu,66,Management
Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,67,Management
Malaviya National Institute of Technology,Jaipur,Rajasthan,68,Management
Anna University,Chennai,Tamil Nadu,69,Management
Aligarh Muslim University,Aligarh,Uttar Pradesh,70,Management
Alliance University,Bengaluru,Karnataka,71,Management
"Jaipuria Institute of Management, Lucknow",Lucknow,Uttar Pradesh,72,Management
"Manipal University, Jaipur",Jaipur,Rajasthan,73,Management
Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,74,Management
Jaipuria Institute of Management,Jaipur,Rajasthan,75,Management
National Institute of Technology Calicut,Kozhikode,Kerala,76,Management
"Jain University, Bangalore",Bengaluru,Karnataka,77,Management
Jamia Hamdard,New Delhi,Delhi,78,Management
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,79,Management
PSG College of Technology,Coimbatore,Tamil Nadu,80,Management
Cochin University of Science and Technology,Cochin,Kerala,81,Management
Thiagarajar School of Management,Madurai,Tamil Nadu,82,Management
BML Munjal University,Gurgaon,Haryana,83,Management
Prin. L.N. Welingkar Institute of Management Development and Research (PGDM),Mumbai,Maharashtra,84,Management
Atal Bihari Vajpayee Indian Institute of Information Technology and Management,Gwalior,Madhya Pradesh,85,Management
Babasaheb Bhimrao Ambedkar University,Lucknow,Uttar Pradesh,86,Management
Jagan Institute of Management Studies Technical Campus,Delhi,Delhi,87,Management
New Delhi Institute of Management,Delhi,Delhi,88,Management
Pandit Deendayal Energy University,Gandhinagar,Gujarat,89,Management
Birla Institute of Technology,Ranchi,Jharkhand,90,Management
National Institute of Bank Management,Pune,Maharashtra,91,Management
Panjab University,Chandigarh,Chandigarh,92,Management
Rajagiri Business School,Cochin,Kerala,93,Management
Bharathidasan Institute of Management,Tiruchirappalli,Tamil Nadu,94,Management
Tezpur University,Tezpur,Assam,95,Management
National Institute of Agricultural Extension Management,Hyderabad,Telangana,96,Management
Institute of Management Technology,Hyderabad,Telangana,97,Management
Galgotias University,Gautam Budh Nagar,Uttar Pradesh,98,Management
Krea University,Sri City,Andhra Pradesh,99,Management
National Institute of Technology Warangal,Warangal,Telangana,100,Management
Amity University,North Twenty Four Parganas,West Bengal,101-150,Management
"Amity University Haryana, Gurgaon","Gurugram, Haryana",Haryana,101-150,Management
Amity University Patna,Patna,Bihar,101-150,Management
"Amity University, Jharkhand",Ranchi,Jharkhand,101-150,Management
Bharati Vidyapeeth?s Institute of Management and Entrepreneurship Development,Pune,Maharashtra,101-150,Management
"Chandigarh Business school of Administration, Landran",Sahibzada Ajit Singh Nagar,Punjab,101-150,Management
"Chandigarh School of Business, Jhanjeri",Sahibzada Ajit Singh Nagar,Punjab,101-150,Management
