Name,City,State,Rank,Category
Indian Institute of Technology Madras,Chennai,Tamil Nadu,1,Overall
Indian Institute of Science,Bengaluru,Karnataka,2,Overall
Indian Institute of Technology Delhi,New Delhi,Delhi,3,Overall
Indian Institute of Technology Bombay,Mumbai,Maharashtra,4,Overall
Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,5,Overall
"All India Institute of Medical Sciences, Delhi",New Delhi,Delhi,6,Overall
Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,7,Overall
Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,8,Overall
Indian Institute of Technology Guwahati,Guwahati,Assam,9,Overall
Jawaharlal Nehru University,New Delhi,Delhi,10,Overall
Banaras Hindu University,Varanasi,Uttar Pradesh,11,Overall
"Jamia Millia Islamia,New Delhi",New Delhi,Delhi,12,Overall
Jadavpur University,Kolkata,West Bengal,13,Overall
Indian Institute of Technology Hyderabad,Hyderabad,Telangana,14,Overall
Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,15,Overall
Manipal Academy of Higher Education-Manipal,Manipal,Karnataka,16,Overall
Vellore Institute of Technology,Vellore,Tamil Nadu,17,Overall
Anna University,Chennai,Tamil Nadu,18,Overall
Aligarh Muslim University,Aligarh,Uttar Pradesh,19,Overall
University of Hyderabad,Hyderabad,Telangana,20,Overall
National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,21,Overall
University of Delhi,Delhi,Delhi,22,Overall
Calcutta University,Kolkata,West Bengal,23,Overall
Indian Institute of Technology Gandhinagar,Gandhinagar,Gujarat,24,Overall
Birla Institute of Technology  & Science -Pilani,Pilani,Rajasthan,25,Overall
Siksha `O` Anusandhan,Bhubaneswar,Odisha,26,Overall
Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,27,Overall
Indian Institute of Technology Indore,Indore,Madhya Pradesh,28,Overall
Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,29,Overall
Homi Bhabha National Institute,Mumbai,Maharashtra,30,Overall
Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,Uttar Pradesh,31,Overall
S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,32,Overall
Indian Institute of Technology Ropar,Rupnagar,Punjab,33,Overall
Indian Institute of Science Education & Research Pune,Pune,Maharashtra,34,Overall
Savitribai Phule Pune University,Pune,Maharashtra,35,Overall
Bharathiar University,Coimbatore,Tamil Nadu,36,Overall
National Institute of Technology Rourkela,Rourkela,Odisha,37,Overall
"National Institute of Technology Karnataka, Surathkal",Surathkal,Karnataka,38,Overall
Jawaharlal Institute of Post Graduate Medical Education & Research,Puducherry,Pondicherry,39,Overall
Thapar Institute of Engineering and Technology (Deemed-to-be-university),Patiala,Punjab,40,Overall
Institute of Chemical Technology,Mumbai,Maharashtra,41,Overall
Indian Institute of Technology (Indian School of Mines),Dhanbad,Jharkhand,42,Overall
Indian Institute of Science Education & Research Kolkata,Mohanpur,West Bengal,43,Overall
Panjab University,Chandigarh,Chandigarh,44,Overall
Chandigarh University,Mohali,Punjab,45,Overall
Lovely Professional University,Phagwara,Punjab,46,Overall
Kerala University,Thiruvananthapuram,Kerala,47,Overall
Kalasalingam Academy of Research and Education,Srivilliputtur,Tamil Nadu,48,Overall
Shanmugha Arts Science Technology & Research Academy,Thanjavur,Tamil Nadu,49,Overall
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,50,Overall
"Indian Institute of Science Education & Research, Mohali",Mohali,Punjab,51,Overall
"Mahatma Gandhi University, Kottayam",Kottayam,Kerala,52,Overall
National Institute of Technology Warangal,Warangal,Telangana,53,Overall
National Institute of Technology Calicut,Kozhikode,Kerala,54,Overall
JSS Academy of Higher Education and Research,Mysuru,Karnataka,55,Overall
Alagappa University,Karaikudi,Tamil Nadu,56,Overall
Amity University,Gautam Budh Nagar,Uttar Pradesh,57,Overall
University of Kashmir,Srinagar,Jammu and Kashmir,58,Overall
Symbiosis International,Pune,Maharashtra,59,Overall
Indian Institute of Science Education & Research Bhopal,Bhopal,Madhya Pradesh,60,Overall
Delhi Technological University,New Delhi,Delhi,61,Overall
Malaviya National Institute of Technology,Jaipur,Rajasthan,62,Overall
Cochin University of Science and Technology,Cochin,Kerala,63,Overall
Osmania University,Hyderabad,Telangana,64,Overall
University of Madras,Chennai,Tamil Nadu,65,Overall
"Indian Institute of Engineering Science and Technology, Shibpur",Howrah,West Bengal,66,Overall
Indian Institute of Technology Jodhpur,Jodhpur,Rajasthan,66,Overall
Indian Institute of Technology Patna,Patna,Bihar,66,Overall
