Name,City,State,Rank,Category
Jamia Hamdard,New Delhi,Delhi,1,Pharmacy
National Institute of Pharmaceutical Education and Research Hyderabad,Hyderabad,Telangana,2,Pharmacy
"Birla Institute of Technology and Science, Pilani",Pilani,Rajasthan,3,Pharmacy
JSS College of Pharmacy,Ooty,Tamil Nadu,4,Pharmacy
Institute of Chemical Technology,Mumbai,Maharashtra,5,Pharmacy
JSS College of Pharmacy,Mysore,Karnataka,6,Pharmacy
Panjab University,Chandigarh,Chandigarh,7,Pharmacy
"Manipal College of Pharmaceutical Sciences, Manipal",Udupi,Karnataka,8,Pharmacy
National Institute of Pharmaceutical Education and Research Mohali,Mohali,Punjab,9,Pharmacy
SVKM`s Narsee Monjee Institute of Management Studies,Mumbai,Maharashtra,10,Pharmacy
S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,11,Pharmacy
National Institute of Pharmaceutical Education and Research Guwahati,Guwahati,Assam,12,Pharmacy
Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,13,Pharmacy
National Institute of Pharmaceutical Education and Research Raebareli,Lucknow,Uttar Pradesh,14,Pharmacy
National Institute of Pharmaceutical Education and Research Ahmedabad,Gandhinagar,Gujarat,15,Pharmacy
Delhi Pharmaceutical Sciences and Research University,Delhi,Delhi,16,Pharmacy
Lovely Professional University,Phagwara,Punjab,16,Pharmacy
Jadavpur University,Kolkata,West Bengal,18,Pharmacy
Chitkara University,Rajpura,Punjab,19,Pharmacy
Chandigarh University,Mohali,Punjab,20,Pharmacy
Babasaheb Bhimrao Ambedkar University,Lucknow,Uttar Pradesh,21,Pharmacy
Amity University,Gautam Budh Nagar,Uttar Pradesh,22,Pharmacy
Central University of Punjab,Bathinda,Punjab,23,Pharmacy
National Institute of Pharmaceutical Education and Research Kolkata,Kolkata,West Bengal,24,Pharmacy
I. S. F. College of Pharmacy,Moga,Punjab,25,Pharmacy
Maharishi Markandeshwar (Deemed to be University),Ambala,Haryana,26,Pharmacy
Annamalai University,Annamalainagar,Tamil Nadu,27,Pharmacy
Banasthali Vidyapith,Banasthali,Rajasthan,28,Pharmacy
